book_slug,book_title,speech_index,speech_title,speaker,section,source_file,output_file
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,36,AIDS virus is not a political creature,Mary Fisher,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/036_aids-virus-is-not-a-political-creature.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,37,It has turned out to be an annus horribilis,Elizabeth II,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/037_it-has-turned-out-to-be-an-annus-horribilis.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,38,"The ethos of Islam is equality, equality between the sexes",Benazir Bhutto,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/038_the-ethos-of-islam-is-equality-equality-between-the-sexes.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,39,I have sinned,Bill Clinton,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/039_i-have-sinned.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,40,"Today, our nation saw evil",George W Bush,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/040_today-our-nation-saw-evil.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,41,Iraq will be victorious,Saddam Hussein,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/041_iraq-will-be-victorious.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,42,Our acts are reaction to your own acts,,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/042_our-acts-are-reaction-to-your-own-acts.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,43,You are already naked. There is no reason not to follow your heart.,,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/043_you-are-already-naked-there-is-no-reason-not-to-follow-your-heart.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,44,"Heroism is here, in the hearts of so many of our fellow citizens",Barack Obama,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/044_heroism-is-here-in-the-hearts-of-so-many-of-our-fellow-citizens.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,45,My country today stands at the start of a journey,Aung San Suu Kyi,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/045_my-country-today-stands-at-the-start-of-a-journey.md
