book_slug,book_title,speech_index,speech_title,speaker,section,source_file,output_file
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,26,A man as low and mean as I can picture,Alfred E. Smith,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/026_a-man-as-low-and-mean-as-i-can-picture.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,27,The eyes of the whole Empire are on Ireland today,George V,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/027_the-eyes-of-the-whole-empire-are-on-ireland-today.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,28,Non-violence is the first article of my faith,Mahatma Gandhi,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/028_non-violence-is-the-first-article-of-my-faith.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,29,A message to every land where the Jewish race is scattered,A. J. Balfour,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/029_a-message-to-every-land-where-the-jewish-race-is-scattered.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,30,The sounds of England,Stanley Baldwin,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/030_the-sounds-of-england.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,31,The life of the Negro race has been a life of tragedy,Clarence Darrow,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/031_the-life-of-the-negro-race-has-been-a-life-of-tragedy.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,32,"I am never be guilty, never",Nicola Sacco and Bartolomeo Vanzetti,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/032_i-am-never-be-guilty-never.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,33,Rugged individualism,Herbert Hoover,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/033_rugged-individualism.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,34,The nation has to be mobilized,Oswald Mosley,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/034_the-nation-has-to-be-mobilized.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,35,We are not on trial,Ramsay MacDonald,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/035_we-are-not-on-trial.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,36,Either we do it -- or they crush us,Joseph Stalin,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/036_either-we-do-it-or-they-crush-us.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,37,Bolshevism run mad,Philip Snowden,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/037_bolshevism-run-mad.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,38,An indomitable aggressive spirit,Adolf Hitler,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/038_an-indomitable-aggressive-spirit.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,39,The bomber will always get through,Stanley Baldwin,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/039_the-bomber-will-always-get-through.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,40,The only thing we have to fear is fear itself,Franklin Delano Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/040_the-only-thing-we-have-to-fear-is-fear-itself.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,41,The supreme justiciar of the German people,Adolf Hitler,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/041_the-supreme-justiciar-of-the-german-people.md
